,536,CFT073,F11,HM01,HM03,HM06,HM07,HM14,HM17,HM43,HM54,HM56,HM57,HM60,HM66,HM68,HM86,K-12,UMN026,UTI89
35780_hypothetical_protein,,,,,,,,,,PROKKA_00862,,,,,,,,,,
78378_glcE,ECP_RS15585,,AS527_RS11360,,,PROKKA_01936,PROKKA_02716,,,PROKKA_03180,PROKKA_04836,PROKKA_01555,,PROKKA_05191,PROKKA_01806,PROKKA_02432,PROKKA_01564,b4468,ECUMN_3454,
625_Hypothetical_protein,ECP_RS26125,c0650 c1473,AS527_RS29200,,,,,,,,,,,,,,,,,
66660_putative_FAD-linked_..,,,,,,,,,,,,,,,,PROKKA_01058,,,,
56782_putative_inner_membr..,,,,,,,,,,,,,,PROKKA_02125,,,,,,
2319_Hypothetical_protein,,c2384,,,,,,,,,,,,,,,,,,
78079_csiD,ECP_RS13415,c3207,AS527_RS18960,PROKKA_02420,PROKKA_01016,PROKKA_01472,PROKKA_02243,PROKKA_02693,PROKKA_03926,PROKKA_03574,PROKKA_05356,PROKKA_01949,PROKKA_01487,,PROKKA_01423,PROKKA_02062,PROKKA_02055,b2659,ECUMN_2983,UTI89_C3014
42599_hypothetical_protein,,,,,,,,,,,PROKKA_02918,,,,,,,,,
15371_hypothetical_protein,,,,,,PROKKA_00584,,,,,,,,,,,,,,
65203_ycdX_2,,,,,,,,,,,,,,,PROKKA_04687,,,,,
47069_SoxR_reducing_system..,,,,,,,,,,,,PROKKA_02000,,,,,,,,
4276_Hypothetical_protein,,c4371,,,,,,,,,,,,,,,,,,
25084_hypothetical_protein,,,,,,,,PROKKA_05072,,,,,,PROKKA_06328,PROKKA_05122,,,,,
75654_mtn,ECP_RS00850,c0195,AS527_RS24605,PROKKA_04594,PROKKA_03089,PROKKA_03845,PROKKA_04529,PROKKA_04777,PROKKA_01681,PROKKA_01389,PROKKA_01884,PROKKA_04554,PROKKA_03834,PROKKA_03241,PROKKA_03583,PROKKA_04343,PROKKA_04728,b0159,ECUMN_0157,UTI89_C0175
11076_hypothetical_protein,,,,,PROKKA_00717,,,,PROKKA_01983,,,,,,,,,,,
21089_rstA_2,,,,,,,PROKKA_01096,,,,,,,,,,,,,
41731_hypothetical_protein,,,,,,,,,,,PROKKA_02005,,,,,PROKKA_04459,,,,
40808_hypothetical_protein,,,,,,,,,,,PROKKA_01025,,,,,,,,,
24427_rhsC_3,,,,,,,PROKKA_04621,,,,,,,,,,,,,
78765_rpe,ECP_RS17700,c4156,AS527_RS07220,PROKKA_03220,PROKKA_01782,PROKKA_02364,PROKKA_03146,PROKKA_03468,PROKKA_03039,PROKKA_02754,PROKKA_00397,PROKKA_01130,PROKKA_02370,PROKKA_04678,PROKKA_02253,PROKKA_02863,PROKKA_01109,b3386,ECUMN_3844,UTI89_C3884
77224_selD,ECP_RS08735,c2167,AS527_RS15335,PROKKA_01416,PROKKA_00087,PROKKA_00429,PROKKA_01283,PROKKA_01752,PROKKA_04897,PROKKA_04520,PROKKA_03606,PROKKA_02914,PROKKA_00427,PROKKA_01939,PROKKA_00415,PROKKA_01138,PROKKA_03023,b1764,ECUMN_2051,UTI89_C1959
10297_hypothetical_protein,,,,PROKKA_05209 PROKKA_05218,,,,PROKKA_04532 PROKKA_04942 PROKKA_04951,,,,,,PROKKA_02234,,,,,,
76098_pagP,ECP_RS03255,c0713,AS527_RS04895,PROKKA_00117,PROKKA_03582,PROKKA_04300,,PROKKA_00507,PROKKA_01124,PROKKA_00914,PROKKA_02375,PROKKA_04058,PROKKA_04313,PROKKA_00347,PROKKA_04123,PROKKA_04831,PROKKA_04289,b0622,ECUMN_0715,UTI89_C0626
61559_vioA,,,,,,,,,,,,,,,PROKKA_00841,,,,,
29858_hypothetical_protein,,,,,,,,PROKKA_04966,,,,,,,,,,,,
22761_hypothetical_protein,,,,,,,PROKKA_02849,PROKKA_03142,,,PROKKA_00099,,,PROKKA_04988,PROKKA_01958,,PROKKA_01412,,,
56013_acrB_3,,,,,,,,,,,,,,PROKKA_01322,,,,,,
44295_xylG_3,,,,,,,,,,,PROKKA_04698,,,,,,,,,
13448_Reverse_transcriptas..,,,,,PROKKA_03246,,,,,,,,,,,,,,,
4393_Putative_transcripti..,ECP_RS19155,c4488,AS527_RS00875,,,PROKKA_02664,,,PROKKA_02725,PROKKA_02441,PROKKA_00711,PROKKA_00828,PROKKA_02676,PROKKA_04326,PROKKA_02564,PROKKA_03159,PROKKA_00808,,,UTI89_C4208
21218_hypothetical_protein,,,,,,,PROKKA_01233,PROKKA_01706,,,,,,,,,,,,
50354_Cytolethal_distendin..,,,,,,,,,,,,,PROKKA_00663,,,,,,,
7023_wbbL,,,,PROKKA_01740,,PROKKA_00825,,,,,,,,,,,,,,
8756_hilA_3,,,,PROKKA_03563,,,,,,,,,,,,,,,,
2435_Transposase,ECP_RS10310 ECP_RS19380,c2503,,PROKKA_01685,,PROKKA_00764,,,PROKKA_04563,,PROKKA_03999,PROKKA_02625,PROKKA_00807,,,,PROKKA_02710,,,UTI89_C2253
77575_osmF,ECP_RS11050,c2661,AS527_RS19455,PROKKA_01901,PROKKA_00490,PROKKA_00933,PROKKA_01709,PROKKA_02179,PROKKA_04399,PROKKA_04057,PROKKA_04164,PROKKA_02466,PROKKA_00966,PROKKA_02458,PROKKA_00947,PROKKA_01595,PROKKA_02541,b2131,ECUMN_2465,UTI89_C2404
9874_aldehyde_oxidoreduct..,,,,PROKKA_04771,,,,,,,,,,,,,,,,
58532_hypothetical_protein,,,,,,,,,,,,,,PROKKA_03627,,,,,,
45125_hypothetical_protein,,,,,,,,,,,,PROKKA_04924,,,,,,,,
2361_Putative_peptide_syn..,,c2426,,,,PROKKA_00719,,,PROKKA_04643,,,,,,PROKKA_00689,,,,,
59893_hypothetical_protein,,,,,,,,,,,,,,PROKKA_05054,,,,,,
54603_UDP-3-O--3-hydroxymy..,,,,,,,,,,,,,,PROKKA_06085,,,,,,
42770_dnaT_2,,,,,,,,,,,PROKKA_03098,,,,,,,,,
55395_IS66_Orf2_like_prote..,,,,,,,,,,,,,,PROKKA_00683,,,,,,
4478_Hypothetical_protein..,,c4575,,,,,,,,,,,,,,,,,,
456_Putative_structural_..,ECP_RS02160,c0478,AS527_RS03765,PROKKA_04862,,PROKKA_04059,,PROKKA_00196,PROKKA_01357,,PROKKA_02131,PROKKA_04284,PROKKA_04091,,,,PROKKA_04527,,ECUMN_0410,UTI89_C0389
77795_yfdP,,,AS527_RS19000 AS527_RS25860,,PROKKA_02886,PROKKA_01463,PROKKA_04999,,,,,PROKKA_04434,,,PROKKA_03755,,PROKKA_04988,b2359,ECUMN_0863,
56354_hypothetical_protein,,,,,,,,,,,,,,PROKKA_01674,,,,,,
19543_putative_periplasmic..,,,,,,PROKKA_04984,,PROKKA_04988,PROKKA_00352,,,,,PROKKA_06202,,,,,,
78407_yqhC,ECP_RS15775,c3744,AS527_RS11170,,PROKKA_01422,PROKKA_01973,PROKKA_02758,PROKKA_03234,PROKKA_03438,PROKKA_03142,PROKKA_04800,PROKKA_01517,PROKKA_01976,PROKKA_05153,,PROKKA_02470,PROKKA_01526,b3010,ECUMN_3494,UTI89_C3430
4296_Hypothetical_protein,,c4391,,,,,,,,,,,,,,,,,,UTI89_C4112
87696_hypothetical_protein,ECP_RS26445,,,,,,,,,,,,,,,,,,,
56969_hypothetical_protein,,,,,,,,,,,,,,PROKKA_02325,,,,,,
81438_hypothetical_protein,,,,,,,,,,,,,,,,,,,ECUMN_1548,
77522_ibsB,,,,,,,,,,,,,,,,,,b4668,,
71144_uvrD_2,,,,,,,,,,,,,,,,,PROKKA_00636,,,
58879_malE_2,,,,,,,,,,,,,,PROKKA_03985,,,,,,
56436_uidA,,,,,,,,,,,,,,PROKKA_01763,,,,,,
54722_DNA_polymerase_V_sub..,,,,,,,,,,,,,,PROKKA_06206,,,,,,
74329_ssuA_1,,,,,,,,,,,,,,,,,PROKKA_03966,,,
79500_frdC,ECP_RS22410,c5240,AS527_RS21245,PROKKA_04186,PROKKA_02620,PROKKA_03347,PROKKA_04084,PROKKA_04339,PROKKA_02118,PROKKA_01865,PROKKA_01424,PROKKA_00232,PROKKA_03434,PROKKA_03766,PROKKA_03141,PROKKA_03928,PROKKA_00133,b4152,ECUMN_4688,UTI89_C4752
20904_mmgB,,,,,,,PROKKA_00907,,,,,,,,,,,,,
17111_hypothetical_protein,,,,,,PROKKA_02416,,,,,,,,,,,,,,
23171_dtpB_2,,,,,,,PROKKA_03277,,,,,,,,,,,,,
55763_rne_3,,,,,,,,,,,,,,PROKKA_01063,,,,,,
65164_hypothetical_protein,,,,,,,,,,,,,,,PROKKA_04647,,,,,
8674_YcfA-like_protein,,,,PROKKA_03479,,,,,,,,,,PROKKA_04420,,,,,ECUMN_4101,
29607_murC_2,,,,,,,,PROKKA_04703,,,,,,,,,,,,
88643_hypothetical_protein,ECP_RS25735,,AS527_RS27485,,,,,,,,,,,,,,,,,
60452_emrB_2,,,,,,,,,,,,,,PROKKA_05639,,,,,,
73425_hypothetical_protein,,,,,,,,,,,,,,,,,PROKKA_03030,,,
8982_hypothetical_protein,,,,PROKKA_03817,,,,,,,,,,,,,,,,
78626_argR,ECP_RS16910,c3992,AS527_RS13620,PROKKA_03088,PROKKA_01651,PROKKA_02210,PROKKA_03003,PROKKA_03329,PROKKA_03196,PROKKA_02909,PROKKA_00240,PROKKA_01285,PROKKA_02211,PROKKA_04833,PROKKA_02096,PROKKA_02707,PROKKA_01271,b3237,ECUMN_3711,UTI89_C3668
82178_hypothetical_protein,,,,,,,,,,,,,,,,,,,ECUMN_2315,
43919_transcriptional_repr..,,,,,,,,,,,PROKKA_04308,,,,,,,,,
77554_yehC,ECP_RS10930,c2637,AS527_RS13010,PROKKA_01874,PROKKA_00467,PROKKA_00907,PROKKA_01681,PROKKA_02155,PROKKA_04424,PROKKA_04082,PROKKA_04138,PROKKA_02489,PROKKA_00943,,PROKKA_00923,PROKKA_01570,,b2110,ECUMN_2442,UTI89_C2384
20141_hypothetical_protein,,,,,,,PROKKA_00114,,,,,,,,,,,,,
2444_Hypothetical_protein,ECP_RS25020,c2513,AS527_RS29055,,,,,,,,,,,,,,,,,UTI89_C2260
77962_hscB,ECP_RS12920,c3052,AS527_RS10250,PROKKA_02284,PROKKA_00910,PROKKA_01317,PROKKA_02121,PROKKA_02560,PROKKA_04018,PROKKA_03685,PROKKA_04682,PROKKA_02100,PROKKA_01394,PROKKA_02923,PROKKA_01320,PROKKA_01964,PROKKA_02160,b2527,ECUMN_2847,UTI89_C2849
24517_hypothetical_protein,,,,,,,PROKKA_04712,,,,,,,,,,,,,
78850_yhhT,ECP_RS18205,c4267,AS527_RS07735,PROKKA_03313,PROKKA_01874,PROKKA_02454,PROKKA_03244,PROKKA_03562,PROKKA_02937,PROKKA_02654,PROKKA_00498,PROKKA_01035,PROKKA_02471,PROKKA_04575,PROKKA_02359,PROKKA_02957,PROKKA_01006,b3474,ECUMN_3937,UTI89_C3990
75599_guaC,ECP_RS00540,c0124,AS527_RS24910,PROKKA_04537,PROKKA_03033,PROKKA_03779,PROKKA_04469,PROKKA_04689,PROKKA_01741,PROKKA_01447,PROKKA_01823,PROKKA_04617,PROKKA_03774,PROKKA_03308,PROKKA_03522,PROKKA_04283,PROKKA_04791,b0104,ECUMN_0102,UTI89_C0112
84416_conserved_hypothetic..,ECP_RS25880,,AS527_RS12295,,,,,,,,,,,,,,,,ECUMN_4668,
35886_site-specific_tyrosi..,,,,,,,,,,PROKKA_00980,,PROKKA_04122,,,,PROKKA_04767,,,,
76511_yceO,ECP_RS05340,c1325,AS527_RS02620,PROKKA_00550,PROKKA_04025,PROKKA_04843,PROKKA_00403,PROKKA_01024,PROKKA_00575,PROKKA_00485,PROKKA_02793,PROKKA_03640,PROKKA_04723,PROKKA_01033,PROKKA_04710,PROKKA_00418,PROKKA_03765,b1058,,UTI89_C1183
25205_hypothetical_protein,,,,,,,,PROKKA_00062,,,,,,PROKKA_03152,,,,,,
76825_ydaW,,,,,,,,,,,,,,,,,,b1361,,
4425_Hypothetical_protein,,c4522,,,,,,,,,,,,,,,,,,
36955_hypothetical_protein,,,,,,,,,,PROKKA_02112,,,,,,,,,,
23350_DNA-damage-inducible..,,,,,,,PROKKA_03465,,,,,,,,,,,,,
78190_yqcG,,,,,PROKKA_01136,,PROKKA_02381,,,,,,,,,,,b4682,,
74218_caf1A_2,,,,,,,,,,,,,,,,,PROKKA_03851,,,
25101_hypothetical_protein,,,,,,,,PROKKA_05089,,,,,,PROKKA_06230,PROKKA_05108 PROKKA_05213,,,,,
57816_formate_dehydrogenas..,,,,,,,,,,,,,,PROKKA_05900,,,,,,
61459_hypothetical_protein,,,,,,,,,,,,,,,PROKKA_00736,,,,,
27190_gatZ_1,,,,,,,,PROKKA_02137,,,,,,PROKKA_02394,,,,,,
60337_hypothetical_protein,,,,,,,,,,,,,,PROKKA_05517,,,,,,
60603_hypothetical_protein,,,,,,,,,,,,,,PROKKA_05804,,,,,,
59187_icsA_5,,,,,,,,,,,,,,PROKKA_04317,,,,,,
78987_yibN,ECP_RS18910,c4436,AS527_RS00630,PROKKA_03505,PROKKA_02031,PROKKA_02612,PROKKA_03424,PROKKA_03718,PROKKA_02775,PROKKA_02490,PROKKA_00660,PROKKA_00877,PROKKA_02626,PROKKA_04381,PROKKA_02512,PROKKA_03109,PROKKA_00859,b3611,ECUMN_4128,UTI89_C4155
77121_purR,ECP_RS08185,c2052,AS527_RS15875,PROKKA_01305,PROKKA_04611,PROKKA_00319,PROKKA_01159,PROKKA_01637,PROKKA_05012,PROKKA_04637,PROKKA_03492,PROKKA_03023,PROKKA_00315,PROKKA_01816,PROKKA_00306,PROKKA_01025,PROKKA_03147,b1658,ECUMN_1948,UTI89_C1849
39283_hypothetical_protein,,,,,,,,,,PROKKA_04568,PROKKA_03562,,,,PROKKA_00373,,,,,UTI89_C1913
69308_hlyB_1,,,,,,,,,,,,,,,,PROKKA_03855,,,,
45061_hypothetical_protein,,,,,,,,,,,,PROKKA_04859,,,,,,,,
3844_Hypothetical_protein,,c3935,,,,,,,,,,,,,,,,,,
43395_Bacteriophage_lysis_..,,,AS527_RS21930,,,,,,,,PROKKA_03752,,,,,,,,,
21656_VWA_domain_containin..,,,,,,,PROKKA_01696,PROKKA_02166,,PROKKA_04069,PROKKA_04151,,,PROKKA_02444,,,,,,
79602_pepA,ECP_RS22960,c5360,AS527_RS21795,PROKKA_04294,PROKKA_02732,PROKKA_03461,PROKKA_04200,PROKKA_04454,PROKKA_02003,PROKKA_01752,PROKKA_01534,PROKKA_00118,PROKKA_03324,PROKKA_03644,PROKKA_03256,PROKKA_04041,PROKKA_00023,b4260,ECUMN_4792,UTI89_C4866
96013_hypothetical_protein,,,,,,,,,,,,,,,,,,,,UTI89_C1524
57796_yihP_3,,,,,,,,,,,,,,PROKKA_05880,,,,,,
79676_yjiR,,,,PROKKA_04346,PROKKA_02830,PROKKA_03599,PROKKA_04280,,,PROKKA_01632,,,,PROKKA_03498,,PROKKA_04102,,b4340,ECUMN_4950,
29914_outD_1,,,,,,,,,PROKKA_00010 PROKKA_05142,,,,,,,PROKKA_00886 PROKKA_00898,,,,UTI89_C1725
47098_Phage_lysozyme,,,AS527_RS19085 AS527_RS25765 AS527_RS20695,,,,,,,,,PROKKA_02030,,,PROKKA_03773,,PROKKA_04963,,ECUMN_0883,UTI89_C2660 UTI89_C2990
94001_ATP-binding_cassette..,,,AS527_RS23840,,,,,,,,,,,,,,,,,
9500_betB_1,,,,PROKKA_04370,PROKKA_02856,,PROKKA_04298,,,,,,,,,,,,ECUMN_4974,
60040_epsF_3,,,,,,,,,,,,,,PROKKA_05207,,,,,,
54866_tsx,,,,,,,,,,,,,,PROKKA_00127,,,,,,
25705_hypothetical_protein,,,,,,,,PROKKA_00585,,,,,,,,,,,,
9845_flgG_2,,,,PROKKA_04740,PROKKA_03201,PROKKA_03941,,,,PROKKA_01252,PROKKA_02017,,,PROKKA_03098,,PROKKA_04471,,,ECUMN_0275,
35023_hypothetical_protein,,,,,,,,,,PROKKA_00065,,,,,,,,,,
62955_malP_2,,,,,,,,,,,,,,,PROKKA_02308,,,,,
76119_ybeR,,,,PROKKA_00140,PROKKA_03605,,PROKKA_05123,PROKKA_00531,,,,,,PROKKA_00372,,,,b0645,ECUMN_0739,
78277_yqeA,ECP_RS14645,c3452,AS527_RS17815,PROKKA_02668,PROKKA_01269,PROKKA_01721,PROKKA_02511,PROKKA_02926,PROKKA_03680,PROKKA_03324,PROKKA_05105,PROKKA_01685,PROKKA_01722,PROKKA_05392,PROKKA_01675,PROKKA_02301,PROKKA_01790,b2874,ECUMN_3217,UTI89_C3259
77705_menD,ECP_RS11755,c2808,AS527_RS20150,PROKKA_02041,PROKKA_00613,PROKKA_01073,,,PROKKA_04257,PROKKA_03918,PROKKA_04371,PROKKA_02330,PROKKA_01106,PROKKA_02637,PROKKA_01087,PROKKA_01732,PROKKA_02401,b2264,ECUMN_2607,UTI89_C2548
57387_frc_3,,,,,,,,,,,,,,PROKKA_02756,,,,,,
923_Putative_capsid_scaf..,,c0950,AS527_RS06055,,,,,,,,,,,,,PROKKA_00102,,,,
79186_yigI,ECP_RS20410,c4741,AS527_RS08745,PROKKA_03736,PROKKA_02256,PROKKA_02927,PROKKA_03683,PROKKA_03961,PROKKA_02541,PROKKA_02272,PROKKA_00882,PROKKA_00656,PROKKA_02857,PROKKA_05784,PROKKA_02734,PROKKA_03372,PROKKA_00628,b3820,ECUMN_4346,UTI89_C4383
3835_Hypothetical_protein,,c3925,,,,,,,,,,,,,,,,,,UTI89_C3599
77900_nudK,ECP_RS12645,c2994,AS527_RS09975,PROKKA_02213,PROKKA_00839,PROKKA_01257,PROKKA_02046,PROKKA_02488,PROKKA_04078,PROKKA_03744,PROKKA_04604,PROKKA_02158,PROKKA_01285,PROKKA_02846,PROKKA_01263,PROKKA_01904,PROKKA_02219,b2467,ECUMN_2779,UTI89_C2793
93604_hypothetical_protein,,,AS527_RS20750,,,,,,,,,,,,,,,,,
36580_hypothetical_protein,,,,,,,,,,PROKKA_01705,,,,,,,,,,
18167_fucA_4,,,AS527_RS26345,,,PROKKA_03543,,,,,PROKKA_01596,,,,,,,,ECUMN_4891,
70410_hypothetical_protein,,,,,,,,,,,,,,,,,PROKKA_05229,,,
3477_Hypothetical_protein,ECP_RS23025,c3559,AS527_RS30035,PROKKA_02771 PROKKA_04163,,PROKKA_02690,PROKKA_02655,,,PROKKA_03222,,,PROKKA_03311 PROKKA_03459,,,PROKKA_03165 PROKKA_03904,PROKKA_00010 PROKKA_01687,,,UTI89_C4881
4400_Hexuronate_transport..,,c4495,,PROKKA_00321,,,,,,,,,,PROKKA_00713,,,,,ECUMN_1006,
4934_Putative_lactate_deh..,ECP_RS21830,c5039,AS527_RS11825,,,PROKKA_03220,,,PROKKA_02235,PROKKA_01977,PROKKA_01229,PROKKA_00356,PROKKA_03156,,PROKKA_03025,PROKKA_03703,,,,UTI89_C4637
19880_cph2_2,,,AS527_RS17340,,,PROKKA_05349,,,,,,,,PROKKA_03805,,,,,,
1361_ydfA,,c1409,,PROKKA_00832,,PROKKA_05139,,PROKKA_01101,PROKKA_00494,,PROKKA_02869,,PROKKA_04801,,,,,,,UTI89_C1465
54601_gltB_3,,,,,,,,,,,,,,PROKKA_06083,,,,,,
43194_ppsR_2,,,,,,,,,,,PROKKA_03544,,,,,,,,,
1395_Hypothetical_protein,,c1443,,,,,,,,,,,,,,,,,,
80567_hypothetical_protein,,,,,,,,,,,,,,,,,,,ECUMN_0659,
78312_ubiH,ECP_RS14810,c3489,AS527_RS17650,PROKKA_02700,PROKKA_01302,PROKKA_01754,PROKKA_02548,PROKKA_02959,PROKKA_03642,PROKKA_03291,PROKKA_05073,PROKKA_01653,PROKKA_01754,PROKKA_05352,PROKKA_01708,PROKKA_02334,PROKKA_01755,b2907,ECUMN_3249,UTI89_C3293
77132_ydhX,ECP_RS08250,c2065,AS527_RS15810,PROKKA_01319,PROKKA_04625,PROKKA_00333,PROKKA_01176,PROKKA_01651,PROKKA_04997,PROKKA_04623,PROKKA_03507,PROKKA_03009,PROKKA_00329,PROKKA_01831,PROKKA_00320,PROKKA_01040,PROKKA_03132,b1671,ECUMN_1960,UTI89_C1863
39786_NADPH-dependent_FMN_..,,,,,,,,,,,PROKKA_05685 PROKKA_04640,,,PROKKA_04270,,,,,,
9842_flgJ_2,,,,PROKKA_04737,PROKKA_03205,PROKKA_03944,,,,PROKKA_01249,PROKKA_02020,,,PROKKA_03095,,PROKKA_04474,,,ECUMN_0278,
55346_nagC_2,,,,,,,,,,,,,,PROKKA_00633,,,,,,
17094_hypothetical_protein,,,,,,PROKKA_02399,,,,,,PROKKA_01095,,,,,,,,
79639_sgcX,,,AS527_RS26275,,PROKKA_02792,PROKKA_03556,,,,,PROKKA_01609,,,,,,,b4305,ECUMN_4905,
79415_acs,ECP_RS21925,c5064,AS527_RS11920,PROKKA_04054,PROKKA_02535,PROKKA_03240,PROKKA_03988,PROKKA_04252,PROKKA_02215,PROKKA_01960,PROKKA_01250,PROKKA_00336,PROKKA_03176,PROKKA_03942,PROKKA_03045,PROKKA_03723,PROKKA_00234,b4069,ECUMN_4605,UTI89_C4659
40_Conserved_hypothetic..,ECP_RS00180,c0042,,PROKKA_04465,PROKKA_02961,PROKKA_03700,PROKKA_04391,PROKKA_04645,,,,PROKKA_04695,,PROKKA_03390,,,PROKKA_04866,,ECUMN_0035,
24415_Gene_25-like_lysozym..,,,,,,,PROKKA_04609,,,,,,,,,,,,,
78172_casB,,,,,,,,,,,,,,PROKKA_05558,,,,b2759,,
20195_macB_1,,,,,,,PROKKA_00169,,,,,,,,,,,,,
326_Hypothetical_protein,,c0338,,,,,,,,,,,,,,,,,,
937_Phage_baseplate_asse..,,c0964,AS527_RS06120,,,,,,,,,,,,,PROKKA_00115,,,,
56261_putative_oxidoreduct..,,,,,,,,,,,,,,PROKKA_01579,,,,,,
36389_CcdB_protein,,,,,,,,,,PROKKA_01507,,,,,,,,,,
78224_csdE,ECP_RS14275,c3382,AS527_RS18190,PROKKA_02584,PROKKA_01173,PROKKA_01635,PROKKA_02421,PROKKA_02848,PROKKA_03757,PROKKA_03409,PROKKA_05185,PROKKA_01764,PROKKA_01649,PROKKA_05494,PROKKA_01595,PROKKA_02224,PROKKA_01872,b2811,ECUMN_3141,UTI89_C3184
10078_hypothetical_protein,,,,PROKKA_04981,,,,,,,,,,,,,,,ECUMN_0527,
6433_hchA_1,,,,PROKKA_01118,,,,,,,,,,,,,,,ECUMN_1772,
22413_hypothetical_protein,,,,,,,PROKKA_02490,,,,,,,,,,,,,
78255_yqeF,ECP_RS14585,c3441,AS527_RS17875,PROKKA_02621,PROKKA_01210,PROKKA_01709,PROKKA_02467,PROKKA_02885,PROKKA_03692,PROKKA_03336,PROKKA_05117,PROKKA_01697,PROKKA_01710,PROKKA_05447,PROKKA_01663,PROKKA_02289,PROKKA_01803,b2844,ECUMN_3172,UTI89_C3247
76730_cysB,ECP_RS06735,c1742,AS527_RS22170,PROKKA_00912,PROKKA_04229,PROKKA_00035,PROKKA_00667,PROKKA_01285,PROKKA_00214,PROKKA_00197,PROKKA_03191,PROKKA_03371,PROKKA_00014 PROKKA_05098,PROKKA_01301,PROKKA_05020,PROKKA_00696,PROKKA_03472,b1275,ECUMN_1574,UTI89_C1544
25541_Prophage_minor_tail_..,,,,,,,,PROKKA_00407,PROKKA_00371,,,,,,,,PROKKA_03627,,,
57828_ypdE_2,,,,,,,,,,,,,,PROKKA_05913,,,,,,
3097_Putative_head-tail_j..,ECP_RS05950,c3172,,PROKKA_00676 PROKKA_05073,,PROKKA_04956,,PROKKA_00399,,,,,,,,PROKKA_00539,PROKKA_00307,,ECUMN_0614 ECUMN_1417,
3545_iucA,,c3627,AS527_RS24190,,,PROKKA_01840,,PROKKA_04996,,,,,PROKKA_01840,PROKKA_06193,,,PROKKA_05278,,ECUMN_3375,
9378_hypothetical_protein,,,,PROKKA_04243,,,,,,,,,,,,,,,ECUMN_4744,
22398_hypothetical_protein,,,,,,,PROKKA_02475,,,,,,,,,,,,,
21545_wfgD,,,,,,,PROKKA_01577,,,,,,,,,,,,,
57268_menH,,,,,,,,,,,,,,PROKKA_02636,,,,,,
3101_GnsB_protein,,c3176,,,,,,,,,,,,,,,,,,
53025_hypothetical_protein,,,,,,,,,,,,,PROKKA_03497,,,PROKKA_03861,PROKKA_05153,,,UTI89_C4919
87784_hypothetical_protein,ECP_RS15760,,AS527_RS11185,,,,,,,,,,,,,,,,,UTI89_C3427
56633_ripA,,,,,,,,,,,,,,PROKKA_01968,,,,,,
47117_hypothetical_protein,,,,,,,,,,,,PROKKA_02049,,,,,,,,
1156_Putative_enzyme,,c1194,,PROKKA_03323,,,,,PROKKA_00711,,,,,,PROKKA_04546,,,,ECUMN_3947,
77568_btsR,ECP_RS11015,c2655,AS527_RS19420,PROKKA_01894,PROKKA_00483,PROKKA_00925,PROKKA_01701,PROKKA_02172,PROKKA_04406,PROKKA_04064,PROKKA_04157,PROKKA_02473,PROKKA_00959,PROKKA_02450,PROKKA_00939,PROKKA_01588,PROKKA_02548,b2125,ECUMN_2459,UTI89_C2397
77212_ydjZ,ECP_RS08665,c2153,AS527_RS15390,PROKKA_01405,PROKKA_00075,PROKKA_00418,PROKKA_01268,PROKKA_01740,PROKKA_04911,PROKKA_04536,PROKKA_03593,PROKKA_02925,PROKKA_00413,PROKKA_01926,PROKKA_00404,PROKKA_01127,PROKKA_03043,b1752,ECUMN_2041,UTI89_C1948
44531_hypothetical_protein,,,,,,,,,,,PROKKA_04939,,,,,,,,,
55435_fsaA_1,,,,,,,,,,,,,,PROKKA_00723,,,,,,
60728_hypothetical_protein,,,,,,,,,,,,,,,PROKKA_05187,,,,,
59833_uxaC_1,,,,,,,,,,,,,,PROKKA_04991,,,,,,
75714_dinJ,,,,,PROKKA_03172,,PROKKA_04635,PROKKA_00079,,,,,,PROKKA_03135,,,,b0226,,
75721_pepD,ECP_RS01345,c0383,AS527_RS23715,PROKKA_04711,PROKKA_03224,PROKKA_03962,PROKKA_04673,PROKKA_00089,,PROKKA_01229,PROKKA_02040,PROKKA_04447,PROKKA_04003,PROKKA_03073,PROKKA_03742,PROKKA_04494,PROKKA_04626,b0237,ECUMN_0303,UTI89_C0277
30362_hypothetical_protein,,,,,,,,,PROKKA_00473,,PROKKA_02892,,PROKKA_04823,,,,,,ECUMN_1334,
19499_Invasin,,,,,,PROKKA_04939,,,,,,PROKKA_03544,,,,,,,,
75736_yafY,,,,,,,,,,,,,,,,,,b0251 b2636,,
54610_Tn3_transposase_DDE_..,,,,,,,,,,,,,,PROKKA_06092,,,,,,
75777_ecpA,ECP_RS01790,c0404,AS527_RS03390,PROKKA_04779,,PROKKA_03987,PROKKA_04731,PROKKA_00111,PROKKA_01431,PROKKA_01214,PROKKA_02060,PROKKA_04349,PROKKA_04023,PROKKA_03027,PROKKA_03821,PROKKA_04538,PROKKA_04603,b0293,ECUMN_0327,UTI89_C0309
55859_dadA_1,,,,,,,,,,,,,,PROKKA_01162,,,,,,
76118_ybeQ,,,,PROKKA_00139,PROKKA_03604,,PROKKA_05122,PROKKA_00530,,,,,,PROKKA_00371,,,,b0644,ECUMN_0738,
77314_eda,ECP_RS09200,c2263,AS527_RS14870,PROKKA_01510,PROKKA_00174,PROKKA_00516,,PROKKA_01840,PROKKA_04806,PROKKA_04428,PROKKA_03699,PROKKA_02825,PROKKA_00514,PROKKA_02038,PROKKA_00507,PROKKA_01223,PROKKA_02927,b1850,ECUMN_2147,UTI89_C2053
78031_pheL,,,,,,,,,,,,,,,,,,b2598,,
