,536,CFT073,HM01,HM03,HM06,HM07,HM14,HM17,HM43,HM54,HM56,HM57,HM60,HM66,HM68,HM86,K-12,UMN026,UTI89
94374_hypothetical_protein,,,,,,,,,,,,,,,,,,,UTI89_C5108
346_Hypothetical_protein,,c0365,,,,,,PROKKA_01526,,,,PROKKA_03988,,PROKKA_03727,,,,,
19180_hypothetical_protein,,,,,PROKKA_04628,,,,,,,,,,,,,,
77030_ydfW,,,,,,,,,,,,,,,,,b1567,,
44847_hypothetical_protein,,,,,,,,,,PROKKA_05482,,,,,,,,,
38908_hypothetical_protein,,,,,,,,,PROKKA_04170,,,,,,,,,,
22512_ydfK,,,,,,PROKKA_02617,,,,,,,,,,,,,
76158_kdpD,,c0780,PROKKA_00183,PROKKA_03653,PROKKA_04377,PROKKA_05171,PROKKA_00579,PROKKA_01052,PROKKA_00839,PROKKA_02447,PROKKA_03981,PROKKA_04384,PROKKA_00426,PROKKA_04194,PROKKA_04902,PROKKA_04218,b0695,ECUMN_0777,UTI89_C0699
25645_ybaT_1,,,,,,,PROKKA_00320,PROKKA_01233,,,,,,,,,,,
57962_gcl_1,,,,,,,,,,,,,PROKKA_00234,,,,,,
58293_hypothetical_protein,,,,,,,,,,,,,PROKKA_00587,,,,,,
77678_inaA,ECP_RS11610,c2779,PROKKA_02009,PROKKA_00589,PROKKA_01043,PROKKA_01826,PROKKA_02282,PROKKA_04285,PROKKA_03946,PROKKA_04341,PROKKA_02358,PROKKA_01077,PROKKA_02602,PROKKA_01058,PROKKA_01704,PROKKA_02429,b2237,ECUMN_2574,UTI89_C2518
4672_Hypothetical_protein,,c4770,,,,,,,,,,,,,,,,,
78957_sgbU,ECP_RS18790,c4405,PROKKA_03473,PROKKA_02000,PROKKA_02584,PROKKA_03384,PROKKA_03679,PROKKA_02802,PROKKA_02517,PROKKA_00625,PROKKA_00905,PROKKA_02600,PROKKA_04426,PROKKA_02487,PROKKA_03083,PROKKA_00883,b3582,ECUMN_4095,UTI89_C4126
75901_yajL,ECP_RS02415,c0535,PROKKA_04915,PROKKA_03394,PROKKA_04109,PROKKA_04872,PROKKA_00250,PROKKA_01301,PROKKA_01093,PROKKA_02181,PROKKA_04233,PROKKA_04142,PROKKA_00141,PROKKA_03944,PROKKA_04656,PROKKA_04474,b0424,ECUMN_0463,UTI89_C0447
75576_mraZ,ECP_RS00430,c0099,PROKKA_04514,PROKKA_03009,PROKKA_03756,PROKKA_04445,PROKKA_04714,PROKKA_01767,PROKKA_01470,PROKKA_01800,PROKKA_04640,PROKKA_03749,PROKKA_03335,PROKKA_03499,PROKKA_04259,PROKKA_04814,b0081,ECUMN_0081,UTI89_C0090
79377_xylE,,,,PROKKA_02493,,PROKKA_03939,PROKKA_04207,,,,,,,,,,b4031,,
19708_Caudovirus_prohead_p..,,,,,PROKKA_05171,,,,,,,,,,,,,,
77877_yffM,,,,,,,,,,,,,,,,,b2444,,
55592_Replication_regulato..,,,,,,,,,,,,,PROKKA_03588,,,,,,
13406_flagellar_basal_body..,,,,PROKKA_03202,,,,,,,,,,,,,,,
56141_dgoA_2,,,,,,,,,,,,,PROKKA_04168,,,,,,
504_Hypothetical_protein,,c0526,,,,,,,,,,,,,,,,,UTI89_C0438
75671_bamA,ECP_RS00930,c0214,PROKKA_04611,PROKKA_03107,PROKKA_03862,PROKKA_04546,PROKKA_04795,PROKKA_01663,PROKKA_01371,PROKKA_01903,PROKKA_04537,PROKKA_03852,PROKKA_03220,PROKKA_03601,PROKKA_04361,PROKKA_04711,b0177,ECUMN_0174,UTI89_C0192
801_Hypothetical_protein,,c0828,,,,,,,,,,,,,,,,,
77439_cobT,ECP_RS10175,c2477,PROKKA_01664,,PROKKA_00742,PROKKA_01530,PROKKA_02009,PROKKA_04585,PROKKA_04228,PROKKA_03975,PROKKA_02646,PROKKA_00783,PROKKA_02195,PROKKA_00784,PROKKA_01431,PROKKA_02733,b1991,ECUMN_2327,UTI89_C2229
4267_Hypothetical_protein,,c4362,,,,,,,,,,,,,,,,,UTI89_C4083
21578_hypothetical_protein,,,,,,PROKKA_01638,,,,,,,,,,,,,
76794_ynaJ,ECP_RS07045,c1805,PROKKA_00961,PROKKA_04292,PROKKA_00095,PROKKA_00732,PROKKA_01351,PROKKA_00150,PROKKA_00136,PROKKA_03251,PROKKA_03312,PROKKA_00075,PROKKA_01370,PROKKA_00003 PROKKA_05079,PROKKA_00754,PROKKA_03409,b1332,ECUMN_1627,UTI89_C1603
60202_rcsC_1,,,,,,,,,,,,,PROKKA_02577,,,,,,
75587_ddlB,ECP_RS00485,c0110,PROKKA_04525,PROKKA_03021,PROKKA_03767,PROKKA_04456,PROKKA_04701,PROKKA_01755,PROKKA_01459,PROKKA_01811,PROKKA_04629,PROKKA_03760,PROKKA_03321,PROKKA_03510,PROKKA_04270,PROKKA_04803,b0092,ECUMN_0092,UTI89_C0101
58704_curli_assembly_prote..,,,,,,,,,,,,,PROKKA_01011,,,,,,
19238_hypothetical_protein,,,,,PROKKA_04687,,,,,,,,,,,,,,
56962_hypothetical_protein,,,,,,,,,,,,,PROKKA_05023,,,,,,
78397_hybO,ECP_RS15715,c3734,PROKKA_02842,PROKKA_01411,PROKKA_01963,PROKKA_02745,PROKKA_03244,PROKKA_03448,PROKKA_03152,PROKKA_04810,PROKKA_01528,PROKKA_01966,PROKKA_05163,PROKKA_01835,PROKKA_02460,PROKKA_01536,b2997,ECUMN_3481,UTI89_C3419
76280_ybiW,ECP_RS04215,c0908,PROKKA_00325,PROKKA_03786,PROKKA_04506,PROKKA_00087,PROKKA_00720,PROKKA_00931,PROKKA_00707,PROKKA_02573,PROKKA_03861,PROKKA_04504,PROKKA_00721,PROKKA_04318,PROKKA_00057,PROKKA_04095,b0823,ECUMN_1011,UTI89_C0826
78267_ygeQ,,,,,,PROKKA_02472,,,,,,,,,,,b2863,,
76889_tehB,ECP_RS07305,c1854,PROKKA_01020,PROKKA_04360,PROKKA_00149,PROKKA_00847,PROKKA_01421,PROKKA_00098,PROKKA_00086,PROKKA_03303,PROKKA_03196,PROKKA_00123,PROKKA_01500,PROKKA_00057,PROKKA_00801,PROKKA_03350,b1430,ECUMN_1678,UTI89_C1650
77876_yffL,,,,,,,,,,,,,,,,,b2443,,
79502_frdA,ECP_RS22420,c5242,PROKKA_04188,PROKKA_02622,PROKKA_03349,PROKKA_04086,PROKKA_04341,PROKKA_02116,PROKKA_01863,PROKKA_01426,PROKKA_00230,PROKKA_03432,PROKKA_03764,PROKKA_03143,PROKKA_03930,PROKKA_00131,b4154,ECUMN_4690,UTI89_C4754
8088_flagellar_biosynthes..,,,PROKKA_02645,PROKKA_01235,,,PROKKA_02910,,,,,,PROKKA_05421,,,,,ECUMN_3195,
33477_csdA_1,,,,,,,,PROKKA_03758,,,,,,,,,,,
75651_erpA,ECP_RS00835,c0191,PROKKA_04591,PROKKA_03086,PROKKA_03842,PROKKA_04526,PROKKA_04774,PROKKA_01684,PROKKA_01392,PROKKA_01881,PROKKA_04557,PROKKA_03831,PROKKA_03245,PROKKA_03580,PROKKA_04340,PROKKA_04731,b0156,ECUMN_0154,UTI89_C0172
92335_hypothetical_protein,,,,,,,,,,,,,,,,,,,UTI89_C3013
76556_hinT,ECP_RS05565,c1376,PROKKA_00600,PROKKA_04071,PROKKA_04889,PROKKA_00453,PROKKA_01070,PROKKA_00527,PROKKA_00439,PROKKA_02839,PROKKA_03593,PROKKA_04770,PROKKA_01084,PROKKA_04758,PROKKA_00464,PROKKA_03717,b1103,ECUMN_1281,UTI89_C1231
34931_hypothetical_protein,,,,,,,,,PROKKA_04944,,,,,,,,,,
75519_ribF,ECP_RS00125,c0029,PROKKA_04456,PROKKA_02951,PROKKA_03689,PROKKA_04381,PROKKA_04636,PROKKA_01831,PROKKA_01534,PROKKA_01741,PROKKA_04706,PROKKA_03688,PROKKA_03400,PROKKA_03435,PROKKA_04197,PROKKA_04876,b0025,ECUMN_0025,UTI89_C0027
79113_atpA,ECP_RS19985,c4660,PROKKA_03649,PROKKA_02167,PROKKA_02839,PROKKA_03588,PROKKA_03867,PROKKA_02630,PROKKA_02363,PROKKA_00788,PROKKA_00749,PROKKA_02770,PROKKA_04120,PROKKA_02639,PROKKA_03283,PROKKA_00716,b3734,ECUMN_4264,UTI89_C4287
2046_Hypothetical_protein,,c2108,,,,,,,,,,,,,,,,,
79362_arpA,,,PROKKA_03993,PROKKA_02474,,PROKKA_03915,PROKKA_04188,,,,,,,,,,b4017,ECUMN_4543,
4425_Hypothetical_protein,,c4522,,,,,,,,,,,,,,,,,
55341_mraY_2,,,,,,,,,,,,,PROKKA_03327,,,,,,
10096_NADH_oxidase,,,PROKKA_04784,,,,,,,,,,,,,,,,
79273_fieF,ECP_RS20995,c4866,PROKKA_03880,PROKKA_02358,PROKKA_03047,PROKKA_03796,PROKKA_04071,PROKKA_02416,PROKKA_02152,PROKKA_01056,PROKKA_00527,PROKKA_02978,PROKKA_05933,PROKKA_02852,PROKKA_03533,PROKKA_00508,b3915,ECUMN_4443,UTI89_C4498
54802_hypothetical_protein,,,,,,,,,,,,,PROKKA_06293,,,,,,
19595_hypothetical_protein,,,,,PROKKA_05051,,,,,,,,,,,,,,
79285_glpF,ECP_RS21060,c4879,PROKKA_03893,PROKKA_02371,PROKKA_03060,PROKKA_03809,PROKKA_04084,PROKKA_02404,PROKKA_02140,PROKKA_01069,PROKKA_00515,PROKKA_02991,PROKKA_05946,PROKKA_02865,PROKKA_03546,PROKKA_00496,b3927,ECUMN_4455,UTI89_C4511
75356_neo_2,,,,,,,,,,,,,,,,PROKKA_05227,,,
58189_hutH,,,,,,,,,,,,,PROKKA_00475,,,,,,
79170_hemD,ECP_RS20325,c4723,PROKKA_03719,PROKKA_02240,PROKKA_02910,PROKKA_03664,PROKKA_03942,PROKKA_02560,PROKKA_02288,PROKKA_00861,PROKKA_00673,PROKKA_02839,PROKKA_05765,PROKKA_02715,PROKKA_03354,PROKKA_00646,b3804,ECUMN_4328,UTI89_C4363
78559_rbfA,ECP_RS16590,c3923,PROKKA_03020,PROKKA_01582,PROKKA_02142,PROKKA_02932,PROKKA_03261,PROKKA_03264,PROKKA_02976,PROKKA_00170,PROKKA_01351,PROKKA_02146,PROKKA_04905,PROKKA_02028,PROKKA_02642,PROKKA_01339,b3167,ECUMN_3649,UTI89_C3597
44722_hypothetical_protein,,,,,,,,,,PROKKA_05697,,,,,,,,,
3059_Hypothetical_protein,,c3134,,,,,,,,,,,,,,,,,UTI89_C2946
33994_spo0F,,,,,,,,PROKKA_04305,,,,,,,,,,,
76251_ybhG,ECP_RS04070,c0878,PROKKA_00291,PROKKA_03757,PROKKA_04479,PROKKA_00057,PROKKA_00688,PROKKA_00958,PROKKA_00735,PROKKA_02542,PROKKA_03888,PROKKA_04477,PROKKA_00564,PROKKA_04288,PROKKA_00029,PROKKA_04123,b0795,ECUMN_0939,UTI89_C0796
79368_yjbD,ECP_RS21630,c4989,PROKKA_04006,PROKKA_02480,PROKKA_03174,PROKKA_03925,PROKKA_04194,PROKKA_02283,PROKKA_02014,PROKKA_01189,PROKKA_00401,PROKKA_03110,PROKKA_04021,PROKKA_02985,PROKKA_03664,PROKKA_00375,b4023,ECUMN_4556,UTI89_C4591
76765_pspA,ECP_RS06900,c1774,PROKKA_00945,PROKKA_04263,PROKKA_00066,PROKKA_00703,PROKKA_01322,PROKKA_00182,PROKKA_00165,PROKKA_03222,PROKKA_03341,PROKKA_00045,PROKKA_01340,PROKKA_05051,PROKKA_00726,PROKKA_03439,b1304,ECUMN_1611,UTI89_C1574
79049_tisB,,,PROKKA_03584,PROKKA_02099,,PROKKA_03512,PROKKA_03801,,,,,,PROKKA_04196,,,,b4618,,
76331_lysO,ECP_RS04475,c1007,PROKKA_00384,PROKKA_03839,PROKKA_04560,PROKKA_00164,PROKKA_00777,PROKKA_00880,PROKKA_00654,PROKKA_02625,PROKKA_03808,PROKKA_04557,PROKKA_00787,PROKKA_04370,PROKKA_00154,PROKKA_04042,b0874,ECUMN_1069,UTI89_C0877
57270_dmlR_9,,,,,,,,,,,,,PROKKA_05342,,,,,ECUMN_3256,
18083_yagE_1,,,,,PROKKA_03472,,,,,,,,,,,,,,
16561_L-lactate_permease,,,,,PROKKA_01856,,,,,PROKKA_04920,,PROKKA_01854,,,,,,,
1157_Hypothetical_protein,,c1195,,,,,,,,,,,,,,,,,
55844_hypothetical_protein,,,,,,,,,,,,,PROKKA_03849,,,,,,
88131_hypothetical_protein,ECP_RS25500,,,,,,,,,,,,,,,,,,
75931_atl,ECP_RS02570,c0573,PROKKA_04946,PROKKA_03429,PROKKA_04141,PROKKA_04908,PROKKA_00284,PROKKA_01270,PROKKA_01059,PROKKA_02215,PROKKA_04202,PROKKA_04173,PROKKA_00174,PROKKA_03979,PROKKA_04687,PROKKA_04443,b0454,ECUMN_0494,UTI89_C0482
60169_putative_autotranspo..,,,,,,,,,,,,,PROKKA_02543,,,,,,
15407_exonuclease_VIII,,,,,PROKKA_00636,,,,,,,,,,,,,,
79147_rep,ECP_RS20185,c4698,PROKKA_03689,PROKKA_02210,PROKKA_02880,PROKKA_03632,PROKKA_03912,PROKKA_02589,PROKKA_02318,PROKKA_00830,PROKKA_00702,PROKKA_02810,PROKKA_05735,PROKKA_02686,PROKKA_03324,PROKKA_00676,b3778,ECUMN_4302,UTI89_C4332
76996_ydfG,ECP_RS07770,c1965,PROKKA_01154,PROKKA_04491,PROKKA_00230,PROKKA_01013,PROKKA_01545,PROKKA_05103,PROKKA_04788,PROKKA_03405,PROKKA_03104,PROKKA_00229,PROKKA_01635,PROKKA_00162,PROKKA_00936,PROKKA_03231,b1539,ECUMN_1806,UTI89_C1762
23944_hypothetical_protein,,,,,,PROKKA_04139,,,,,,,,,,,,,
18956_lutR_4,,,,,PROKKA_04391,,,,,,,,PROKKA_00441,,,,,,
34968_hypothetical_protein,,,,,,,,,PROKKA_00009 PROKKA_01641 PROKKA_04815 PROKKA_04825,,,,,,,,,,
25022_hypothetical_protein,,,,,,PROKKA_05259,,,,,,,,,,,,,
19256_hypothetical_protein,,,,,PROKKA_04705,,,,,,,,,,,,,,
20293_hypothetical_protein,,,,,,PROKKA_00294,,PROKKA_00799,PROKKA_00568,,,,,,,,,,
78645_panF,ECP_RS17065,c4023,PROKKA_03108,PROKKA_01670,PROKKA_02237,PROKKA_03026,PROKKA_03349,PROKKA_03167,PROKKA_02881,PROKKA_00269,PROKKA_01256,PROKKA_02238,PROKKA_04802,PROKKA_02125,PROKKA_02735,PROKKA_01242,b3258,ECUMN_3732,UTI89_C3700
41388_hypothetical_protein,,,,,,,,,,PROKKA_01332,,,,,,,,,
76933_fdnI,ECP_RS07520,c1907,PROKKA_01075,PROKKA_04416,PROKKA_00184,PROKKA_00897,PROKKA_01466,PROKKA_00046,PROKKA_00042,PROKKA_03352,PROKKA_03152,PROKKA_00168,PROKKA_01549,PROKKA_00105,PROKKA_00848,PROKKA_03308,b1476,ECUMN_1730,UTI89_C1692
79503_epmA,ECP_RS22425,c5243,PROKKA_04189,PROKKA_02623,PROKKA_03351,PROKKA_04087,PROKKA_04342,PROKKA_02115,PROKKA_01862,PROKKA_01428,PROKKA_00229,PROKKA_03431,PROKKA_03763,PROKKA_03144,PROKKA_03931,PROKKA_00130,b4155,ECUMN_4691,UTI89_C4755
3037_Hypothetical_protein,,c3113,,,,,,,,,,,,,,,,,
64331_hypothetical_protein,,,,,,,,,,,,,,PROKKA_03771,,,,,
78797_malT,ECP_RS17865,c4196,PROKKA_03253,PROKKA_01817,PROKKA_02397,PROKKA_03182,PROKKA_03503,PROKKA_03004,PROKKA_02720,PROKKA_00432,PROKKA_01097,PROKKA_02405,PROKKA_04636,PROKKA_02288,PROKKA_02895,PROKKA_01074,b3418,ECUMN_3877,UTI89_C3919
21288_rnd_2,,,,,,PROKKA_01327,,,,,,,,,,,,,
79459_basR,ECP_RS22195,c5118,PROKKA_04096,PROKKA_02577,PROKKA_03296,PROKKA_04040,PROKKA_04295,PROKKA_02161,PROKKA_01907,PROKKA_01303,PROKKA_00282,PROKKA_03230,PROKKA_03886,PROKKA_03099,PROKKA_03777,PROKKA_00176,b4113,ECUMN_4645,UTI89_C4707
19911_hypothetical_protein,,,,,PROKKA_05395,,,,,,,,,,,PROKKA_05291,,,
55167_gmhA_1,,,,,,,,,,,,,PROKKA_03141,,,,,,
88507_urea_transporter,ECP_RS19425,,,,,,,,,,,,,,,,,,
17080_hypothetical_protein,,,,,PROKKA_02399,,,,,,PROKKA_01095,,,,,,,,
59418_folM_2,,,,,,,,,,,,,PROKKA_01752,,,,,,
92012_ral,,,,,,,,,,,,,,,,,,,UTI89_C2680
56260_Membrane-bound_lysoz..,,,,,,,,,,,,,PROKKA_04292,,,,,,
6383_hypothetical_protein,,,PROKKA_00840,,PROKKA_05147,,,,PROKKA_04730,,PROKKA_03279,PROKKA_00705,,,,,,,
79139_ilvX,,,,,,,,,,,,,,,,,b4669,,
34713_uidC_2,,,,,,,,PROKKA_05059,,,,,,,PROKKA_00978,,,,
19364_hypothetical_protein,,,,,PROKKA_04815,,,,,,PROKKA_03667,PROKKA_04697,,,,,,,
77834_yfeC,ECP_RS12350,c2934,PROKKA_02156,PROKKA_00779,PROKKA_01199,PROKKA_01985,PROKKA_02428,PROKKA_04136,PROKKA_03804,PROKKA_04543,PROKKA_02217,PROKKA_01227,PROKKA_02781,PROKKA_01204,PROKKA_01846,PROKKA_02278,b2398,ECUMN_2725,UTI89_C2729
59886_dgoD_1,,,,,,,,,,,,,PROKKA_02246,,,,,,
77179_infC,ECP_RS08495,c2115,PROKKA_01371,PROKKA_00041,PROKKA_00385,PROKKA_01230,PROKKA_01703,PROKKA_04944,PROKKA_04570,PROKKA_03560,PROKKA_02958,PROKKA_00380,PROKKA_01888,PROKKA_00371,PROKKA_01093,PROKKA_03077,b1718,,UTI89_C1911
76782_ycjF,ECP_RS06990,c1794,PROKKA_00951,PROKKA_04281,PROKKA_00084,PROKKA_00721,PROKKA_01341,PROKKA_00163,PROKKA_00146,PROKKA_03240,PROKKA_03322,PROKKA_00063,PROKKA_01360,PROKKA_05069,PROKKA_00744,PROKKA_03420,b1322,ECUMN_1617,UTI89_C1593
36547_ptsI_1,,,,,,,,,PROKKA_01672,,PROKKA_00069,,,PROKKA_03313,PROKKA_04073,,,,UTI89_C5022
78347_yggI,ECP_RS15010,c3530,PROKKA_02742,PROKKA_01351,PROKKA_01795,PROKKA_02594,PROKKA_03003,PROKKA_03603,PROKKA_03248,PROKKA_05032,PROKKA_01614,PROKKA_01793,PROKKA_05307,PROKKA_01747,PROKKA_02373,PROKKA_01713,b2944,ECUMN_3296,UTI89_C3333
62048_purL_2,,,,,,,,,,,,,,PROKKA_01351,,,,,
27344_wzb,,,,,,,PROKKA_02098,,,,,,,,,,,,
78731_kefG,ECP_RS17550,c4126,PROKKA_03191,PROKKA_01753,PROKKA_02334,PROKKA_03113,PROKKA_03432,PROKKA_03068,PROKKA_02783,PROKKA_00368,PROKKA_01159,PROKKA_02340,PROKKA_04713,PROKKA_02223,PROKKA_02834,PROKKA_01139,b3351,ECUMN_3812,UTI89_C3854
75834_mhpE,,,PROKKA_04848,PROKKA_03332,PROKKA_04048,PROKKA_04804,PROKKA_00181,,,,,,PROKKA_00068,,,,b0352,ECUMN_0395,
74056_kbaY_3,,,,,,,,,,,,,,,,PROKKA_03875,,,
21068_rstB_3,,,,,,PROKKA_01099,,,,,,,,,,,,,
57816_hypothetical_protein,,,,,,,,,,,,,PROKKA_00084,,,,,,
76856_paaG,,,,PROKKA_04329,,PROKKA_00810,PROKKA_01388,,,,,,,,,,b1394,,
78059_abpA,,,,,,,,,,,,,,,,,b2628,,
37995_DNA-binding_transcri..,,,,,,,,,PROKKA_03208,,,,,,,,,,
21109_Fusaric_acid_resista..,,,,,,PROKKA_01140,,,,,,,PROKKA_01798,,,,,,
5566_hypothetical_protein,,,PROKKA_05284,,PROKKA_05255 PROKKA_05420,,PROKKA_05032 PROKKA_05139 PROKKA_04839,,PROKKA_04871,PROKKA_05478,PROKKA_04889,,PROKKA_06284,PROKKA_05160,,PROKKA_05312,,ECUMN_p10130,UTI89_P081
76966_hipB,ECP_RS07650,c1941,PROKKA_01123,PROKKA_04449,PROKKA_00210,PROKKA_00968,PROKKA_01503,PROKKA_05130,PROKKA_04808,,PROKKA_03124,PROKKA_00203,,PROKKA_00136,PROKKA_00910,PROKKA_03255,b1508,ECUMN_1777,UTI89_C1737
60737_hypothetical_protein,,,,,,,,,,,,,,PROKKA_05198,,,,,
15678_yehU_2,,,,,PROKKA_00927,PROKKA_01703,,,,,,,PROKKA_02452,PROKKA_00941,,,,,
46729_hypothetical_protein,,,,,,,,,,,PROKKA_01859,,,,,,,,
79023_ligB,ECP_RS19075,c4471,PROKKA_03539,PROKKA_02066,PROKKA_02647,PROKKA_03467,PROKKA_03771,PROKKA_02741,PROKKA_02457,PROKKA_00694,PROKKA_00844,PROKKA_02660,PROKKA_04343,PROKKA_02548,PROKKA_03143,PROKKA_00825,b3647,ECUMN_4162,UTI89_C4191
59487_mdtK_2,,,,,,,,,,,,,PROKKA_01822,,,,,,
77987_glyA,ECP_RS13025,c3073,PROKKA_02310,PROKKA_00935,PROKKA_01336,PROKKA_02152,PROKKA_02587,PROKKA_03999,PROKKA_03665,PROKKA_04703,PROKKA_02078,PROKKA_01414,PROKKA_02952,PROKKA_01341,PROKKA_01983,PROKKA_02139,b2551,ECUMN_2871,UTI89_C2870
78626_argR,ECP_RS16910,c3992,PROKKA_03088,PROKKA_01651,PROKKA_02210,PROKKA_03003,PROKKA_03329,PROKKA_03196,PROKKA_02909,PROKKA_00240,PROKKA_01285,PROKKA_02211,PROKKA_04833,PROKKA_02096,PROKKA_02707,PROKKA_01271,b3237,ECUMN_3711,UTI89_C3668
80639_hypothetical_protein..,,,,,,,,,,,,,,,,,,ECUMN_0880,
58192_fumA_1,,,,,,,,,,,,,PROKKA_00478,,,,,,
78866_yhiN,ECP_RS18265,c4290,PROKKA_03353,PROKKA_01890,PROKKA_02475,PROKKA_03272,PROKKA_03578,PROKKA_02918,PROKKA_02638,PROKKA_00511,PROKKA_01015,PROKKA_02490,PROKKA_04558,PROKKA_02379,PROKKA_02977,PROKKA_00994,b3492,ECUMN_3977,UTI89_C4011
79633_sgcR,,,,PROKKA_02786,PROKKA_03550,,,,,PROKKA_01603,,,,,,,b4300,ECUMN_4899,
5194_Putative_conserved_p..,ECP_RS22705,c5304,,PROKKA_02681,PROKKA_03408,PROKKA_04145,,PROKKA_02057,PROKKA_01806,,PROKKA_00172,PROKKA_03375,PROKKA_03702,PROKKA_03202,PROKKA_03987,PROKKA_00073,,,UTI89_C4814
4520_Hypothetical_protein,,c4618,,,,,,,,,,,,,,,,,
23818_hypothetical_protein,,,,,,PROKKA_04007,,,,,PROKKA_00314,,,,,,,,
35550_aroA_1,,,,,,,,,PROKKA_00618,PROKKA_02661,,,PROKKA_00881,,PROKKA_00218,,,,
2143_Hypothetical_protein,ECP_RS26250,c2206,,,,,,,,,,,,,,,,,
68676_hypothetical_protein,,,,,,,,,,,,,,,PROKKA_03175,,,,
78877_arsB,,,PROKKA_03366,PROKKA_01901,,PROKKA_03284,PROKKA_03589,,,,,,PROKKA_04546,,,,b3502,ECUMN_3992,
77801_torI,,,,,,,,,,,,,,,,,b4501,,UTI89_C2694
82012_Type_IV_secretory_pa..,,,,,,,,,,,,,,,,,,ECUMN_2289,
78331_epd,ECP_RS14895,c3505,PROKKA_02721,PROKKA_01324,PROKKA_01774,PROKKA_02570,PROKKA_02981,PROKKA_03624,PROKKA_03273,PROKKA_05054,PROKKA_01635,PROKKA_01772,PROKKA_05327,PROKKA_01726,PROKKA_02352,PROKKA_01737,b2927,ECUMN_3272,UTI89_C3310
79046_ilvN,ECP_RS19680,c4595,PROKKA_03581,PROKKA_02095,PROKKA_02777,PROKKA_03508,PROKKA_03798,PROKKA_02689,PROKKA_02423,PROKKA_00729,PROKKA_00808,PROKKA_02712,PROKKA_04199,PROKKA_02581,PROKKA_03221,PROKKA_00776,b3670,ECUMN_4201,UTI89_C4226
76432_hyaF,ECP_RS04960,c1118,PROKKA_00483,PROKKA_03944,PROKKA_04771,PROKKA_00315,PROKKA_00943,PROKKA_00780,PROKKA_00549,PROKKA_02724,PROKKA_03710,PROKKA_04653,PROKKA_00956,PROKKA_04478,PROKKA_00282,PROKKA_03932,b0977,ECUMN_1167,UTI89_C1045
33738_hypothetical_protein,,,,,,,,PROKKA_04042,,,,,,,PROKKA_01940,,,,
9689_hypothetical_protein,,,PROKKA_04348,,,,,,,,,,,,,,,,
46727_Phage_integrase_fami..,,,,,,,,,,,PROKKA_01857,,,,,,,,
56968_rafA_1,,,,,,,,,,,,,PROKKA_05029,,,,,,
77348_cheB,ECP_RS09365,c2298,PROKKA_01544,PROKKA_00221,PROKKA_00553,PROKKA_01420,PROKKA_01879,PROKKA_04771,PROKKA_04395,PROKKA_03824,PROKKA_02791,PROKKA_00549,PROKKA_02079,PROKKA_00541,PROKKA_01256,PROKKA_02892,b1883,ECUMN_2180,UTI89_C2087
58441_yliE_2,,,,,,,,,,,,,PROKKA_00736,,,,,,
60056_ecpD_1,,,,,,,,,,,,,PROKKA_02427,,,PROKKA_02566,,,
2054_Putative_conserved_p..,,c2117,,,PROKKA_00387,,,PROKKA_04942,PROKKA_04568,PROKKA_03562,PROKKA_02956,PROKKA_00382,,PROKKA_00373,PROKKA_01095,PROKKA_03074,,,UTI89_C1913
57192_bfrA,,,,,,,,,,,,,PROKKA_05263,,,,,,
59854_dcuB_1,,,,,,,,,,,,,PROKKA_02211,,,,,,
77821_ypdC,ECP_RS12275,c2921,PROKKA_02142,PROKKA_00765,PROKKA_01187,PROKKA_01967,PROKKA_02414,PROKKA_04150,PROKKA_03819,PROKKA_04530,PROKKA_02230,PROKKA_01213,PROKKA_02764,PROKKA_01190,PROKKA_01832,PROKKA_02293,b2382,ECUMN_2712,UTI89_C2714
28404_ADP-ribosylglycohydr..,,,,,,,PROKKA_03215,,,PROKKA_00028,,,,PROKKA_01884,,PROKKA_01489,,,
46463_neuC,,,,,,,,,,,PROKKA_01581,,,PROKKA_01780,PROKKA_02406,,,,UTI89_C3370
36224_hypothetical_protein,,,,,,,,,PROKKA_01328,,,,,,,,,,
78904_bcsC,ECP_RS18500,c4342,PROKKA_03411,PROKKA_01934,PROKKA_02522,PROKKA_03318,PROKKA_03621,PROKKA_02868,PROKKA_02590,PROKKA_00560,PROKKA_00968,PROKKA_02537,PROKKA_04501,PROKKA_02427,PROKKA_03025,PROKKA_00945,b3530,,UTI89_C4062
46394_mtlK_2,,,,,,,,,,,PROKKA_01510,,,,,,,,
22535_hypothetical_protein,,,,,,PROKKA_02641,,,,,,,,,,PROKKA_01647,,,
73241_hypothetical_protein,,,,,,,,,,,,,,,,PROKKA_03030,,,
78392_hybE,ECP_RS15690,c3729,PROKKA_02837,PROKKA_01406,PROKKA_01958,PROKKA_02739,PROKKA_03249,PROKKA_03453,PROKKA_03157,PROKKA_04815,PROKKA_01533,PROKKA_01961,PROKKA_05168,PROKKA_01830,PROKKA_02455,PROKKA_01542,b2992,ECUMN_3476,UTI89_C3414
1599_fecD,ECP_RS06310,c1651,PROKKA_00753,,PROKKA_05029,,,PROKKA_00305,PROKKA_00358,PROKKA_03019,PROKKA_03459,PROKKA_05011,PROKKA_01177,PROKKA_04936,PROKKA_00609,PROKKA_03559,,ECUMN_1491,UTI89_C1387
16327_gudP_1,,,,,PROKKA_01609,,,,,,PROKKA_01789,PROKKA_01624,,PROKKA_01570,,,,,
